shop	courier	orderid	tracking	status	last_update
homeone	speedex	'57138	'700006212955	ΕΙΣΑΓΩΓΗ ΣΕ Δ/Κ	21/01/2021, 05:10:00
homeone	speedex	'57146	'700006213133	ΑΠΩΝ	20/01/2021, 16:14:00
homeone	speedex	'57150	'700006213241	ΕΙΣΑΓΩΓΗ ΣΕ ΚΑΤΑΣΤΗΜΑ	16/01/2021, 07:34:00
homeone	speedex	'57079	'700006211087	ΕΞΑΓΩΓΗ ΑΠΟ Δ/Κ	20/01/2021, 01:51:00
homeone	speedex	'57051	'700006209949	ΕΞΑΓΩΓΗ ΑΠΟ Δ/Κ	20/01/2021, 01:51:00
homeone	speedex	'57039	'700006209468	ΕΙΣΑΓΩΓΗ ΣΕ ΚΑΤΑΣΤΗΜΑ	19/01/2021, 14:01:00
homeone	speedex	'56963	'700006206769	ΕΙΣΑΓΩΓΗ ΣΕ Δ/Κ	15/01/2021, 11:45:00
homeone	speedex	'56759	'700006195869	ΕΞΑΓΩΓΗ ΑΠΟ Δ/Κ	13/01/2021, 02:19:00
homeone	speedex	'56719	'700006193799	ΕΙΣΑΓΩΓΗ ΣΕ Δ/Κ	15/01/2021, 11:45:00
homeone	speedex	'56618	'700006189675	ΠΡΟΣ ΠΑΡΑΔΟΣΗ	20/01/2021, 08:58:00
homeone	speedex	'56630	'700006190005	ΕΙΣΑΓΩΓΗ ΣΕ Δ/Κ	15/01/2021, 15:55:00
homeone	speedex	'56527	'700006184865	ΠΡΟΣ ΠΑΡΑΔΟΣΗ	16/01/2021, 20:38:00
homeone	speedex	'56169	'700006145369	ΑΠΟΣΤΟΛΗ ΕΝΗΜΕΡΩΣΗΣ (SMS)	21/01/2021, 10:49:00
homeone	speedex	'55937	'700006141062	ΕΞΑΓΩΓΗ ΑΠΟ Δ/Κ	13/01/2021, 09:56:00
homeone	speedex	'55945	'700006141181	ΕΞΑΓΩΓΗ ΑΠΟ Δ/Κ	13/01/2021, 09:56:00
homeone	speedex	'55897	'700006130430	ΕΙΣΑΓΩΓΗ ΣΕ ΚΑΤΑΣΤΗΜΑ	15/01/2021, 15:53:00
homeone	speedex	'55880	'700006140283	ΕΞΑΓΩΓΗ ΑΠΟ Δ/Κ	12/01/2021, 09:20:00
homeone	speedex	'55856	'700006139301	ΕΞΑΓΩΓΗ ΑΠΟ Δ/Κ	12/01/2021, 09:20:00
homeone	speedex	'55796	'700006137493	ΕΝΗΜΕΡΩΣΗ ΑΠΑΡΑΔΟΤΗΣ ΑΠΟΣΤΟΛΗΣ	13/01/2021, 05:32:00
homeone	speedex	'55780	'700006136366	ΕΙΣΑΓΩΓΗ ΣΕ Δ/Κ	08/01/2021, 23:30:00
homeone	speedex	'55750	'700006134516	ΕΞΑΓΩΓΗ ΑΠΟ Δ/Κ	13/01/2021, 04:50:00
homeone	speedex	'56490	'700006183935	ΕΞΑΓΩΓΗ ΑΠΟ Δ/Κ	15/01/2021, 02:13:00
kidstoys	speedex	'102899	'700006127280	ΕΙΣΑΓΩΓΗ ΣΕ ΚΑΤΑΣΤΗΜΑ	17/01/2021, 08:57:00
